house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
鼓楼-华侨路-华侨路,58.35㎡,南,2室1厅1卫,低楼层（7层）,4100 元/月,NJ1661643177540452352,2022-08-07,118.78664499313,32.052668657047,整租,/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:07,南京
鼓楼-草场门大街-华保新寓,53.00㎡,南,2室1厅1卫,高楼层（6层）,3300 元/月,NJ1656498440068136960,2022-08-02,118.738217,32.063135,整租,/近地铁/精装/随时看房/动迁安置房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:16,南京
鼓楼-华侨路-金鹏大厦,75.17㎡,东,2室1厅1卫,中楼层（20层）,4800 元/月,NJ1656501191208599552,2022-08-08,118.77815,32.049229,整租,/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:25,南京
鼓楼-五塘广场-五塘和园,80.00㎡,南,2室2厅1卫,高楼层（28层）,3200 元/月,NJ1656569307418591232,2022-08-06,118.787519,32.116661,整租,/近地铁/精装/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:30,南京
鼓楼-华侨路-永庆村小区,50.00㎡,南,2室1厅1卫,高楼层（7层）,3800 元/月,NJ1656576344206606336,2022-08-06,118.781671,32.051688,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:36,南京
鼓楼-定淮门大街-清江花苑明月园,62.44㎡,南北,2室1厅1卫,中楼层（7层）,3000 元/月,NJ1661925465704628224,2022-08-05,118.750695,32.073154,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:45,南京
鼓楼-小市-百灵街5号,50.00㎡,南,2室1厅1卫,中楼层（5层）,2000 元/月,NJ1661946158244691968,2022-08-02,118.79503133761,32.099232670786,整租,/近地铁/精装/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2022-08-12 20:16:50,南京
鼓楼-热河南路-世茂滨江新城,114.18㎡,南,2室1厅1卫,中楼层（53层）,4200 元/月,NJ1661999443194413056,2022-08-10,118.74101,32.084308,整租,/精装/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:16:53,南京
鼓楼-龙江-永嘉年华,50.88㎡,南,2室1厅2卫,高楼层（21层）,4000 元/月,NJ1662054889221521408,2022-08-08,118.745478,32.056525,整租,/近地铁/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:01,南京
鼓楼-挹江门-虎踞北路,46.00㎡,南,2室1厅1卫,高楼层（6层）,3200 元/月,NJ1662056552514715648,2022-08-08,118.759916,32.083315,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:10,南京
鼓楼-小市-恒盛嘉园,55.00㎡,南,2室1厅1卫,低楼层（6层）,3000 元/月,NJ1662037467991113728,2022-08-11,118.7772256168,32.108835153187,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:18,南京
鼓楼-挹江门-镇江路,47.19㎡,南,2室1厅1卫,中楼层（6层）,2700 元/月,NJ1662033451081007104,2022-08-09,118.758881,32.084426,整租,/业主自荐/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:27,南京
鼓楼-定淮门大街-恒盛金陵湾,96.00㎡,南北,2室1厅1卫,低楼层（51层）,5300 元/月,NJ1656611051640193024,2022-08-11,118.739612,32.074742,整租,/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:29,南京
鼓楼-三牌楼-校门口1号,55.00㎡,南,2室1厅1卫,高楼层（7层）,2500 元/月,NJ1656628041696149504,2022-08-11,118.766306,32.080628,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:36,南京
鼓楼-三牌楼-钟阜大厦,70.00㎡,南,2室1厅1卫,高楼层（28层）,3400 元/月,NJ1662300716909199360,2022-08-09,118.768969,32.087947,整租,/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:40,南京
鼓楼-定淮门大街-百合果园,74.00㎡,西南,2室1厅1卫,中楼层（5层）,4500 元/月,NJ1656864290675621888,2022-08-11,118.74432,32.075967,整租,//精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:46,南京
鼓楼-定淮门大街-迎江园,60.00㎡,南北,2室1厅1卫,低楼层（7层）,2900 元/月,NJ1656881966370258944,2022-08-08,118.7396538539,32.077216684847,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:51,南京
鼓楼-水佐岗-水佐岗32巷,56.27㎡,南,2室1厅1卫,高楼层（5层）,3600 元/月,NJ1662337696002998272,2022-07-28,118.771646,32.075385,整租,/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:17:59,南京
鼓楼-小市-安怀新村,50.00㎡,南,2室1厅1卫,中楼层（6层）,2850 元/月,NJ1656875317920268288,2022-08-11,118.801398,32.105181,整租,/近地铁/随时看房/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2022-08-12 20:18:03,南京
鼓楼-三牌楼-新门口,53.76㎡,南北,2室1厅1卫,低楼层（7层）,2600 元/月,NJ1656976708714102784,2022-08-06,118.77487205206,32.083957075956,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:09,南京
鼓楼-小市-金宁新村小区,48.00㎡,西南,2室1厅1卫,中楼层（5层）,2400 元/月,NJ1657209086325817344,2022-08-10,118.80896424923,32.107149161595,整租,/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:14,南京
鼓楼-凤凰西街-凤凰西街146号,51.00㎡,南,2室1厅1卫,高楼层（6层）,4500 元/月,NJ1656995135931547648,2022-08-08,118.755972,32.047154,整租,/近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:19,南京
鼓楼-热河南路-二板桥,57.00㎡,东南,2室1厅1卫,中楼层（7层）,2800 元/月,NJ1653994913127202816,2022-08-12,118.74580133323,32.084691746531,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:23,南京
鼓楼-建宁路-安乐村,37.10㎡,南北,2室1厅1卫,低楼层（5层）,2900 元/月,NJ1646148171853725696,2022-08-05,118.770635,32.097634,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:31,南京
鼓楼-定淮门大街-迎江园,50.31㎡,南北,2室1厅1卫,高楼层（7层）,3300 元/月,NJ1646339888036970496,2022-08-07,118.7396538539,32.077216684847,整租,/官方核验/精装/,无,租用车位,民水,民电,有,暂无数据,2022-08-12 20:18:37,南京
鼓楼-龙江-聚福园一期,90.00㎡,南,2室2厅1卫,中楼层（6层）,5300 元/月,NJ1646337467504132096,2022-08-10,118.743064,32.055845,整租,/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:42,南京
鼓楼-许府巷-江西路,58.00㎡,西南,2室1厅1卫,中楼层（7层）,4100 元/月,NJ1646410815751847936,2022-08-02,118.788478,32.089074,整租,/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:45,南京
鼓楼-凤凰西街-汉中门外大街203号,85.88㎡,南北,2室1厅1卫,中楼层（8层）,4400 元/月,NJ1646426682845822976,2022-08-03,118.76917688356,32.050139083659,整租,/近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:50,南京
鼓楼-金陵小区-金陵新八村,64.00㎡,南北,2室1厅1卫,高楼层（7层）,2200 元/月,NJ1660138297856360448,2022-08-01,118.76949289184,32.11785738261,整租,/近地铁/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:18:57,南京
鼓楼-三牌楼-校门口1号,70.00㎡,南,2室1厅1卫,高楼层（6层）,2800 元/月,NJ1660207692934807552,2022-08-07,118.766306,32.080628,整租,//精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:06,南京
鼓楼-湖南路-马家街,50.00㎡,南,2室1厅1卫,高楼层（7层）,3300 元/月,NJ1654334775877435392,2022-08-08,118.788525,32.079703,整租,/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:11,南京
鼓楼-五塘广场-汽轮五村,46.00㎡,南,2室1厅1卫,中楼层（6层）,2000 元/月,NJ1654476133011292160,2022-08-09,118.78825141941,32.112398541696,整租,/近地铁/精装/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2022-08-12 20:19:16,南京
鼓楼-凤凰西街-凤凰西街188号,62.00㎡,南,2室1厅1卫,高楼层（7层）,3300 元/月,NJ1660196597666938880,2022-08-05,118.753023,32.047478,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:24,南京
鼓楼-凤凰西街-清河新寓二村,59.45㎡,南,2室1厅1卫,低楼层（6层）,4200 元/月,NJ1654681097465757696,2022-08-10,118.7362962905,32.048081517412,整租,/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:28,南京
鼓楼-许府巷-紫苑,95.00㎡,南,2室1厅1卫,低楼层（6层）,4200 元/月,NJ1660219287626842112,2022-08-09,118.7841234013,32.093664344603,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:35,南京
鼓楼-挹江门-镇江路,54.00㎡,南,2室1厅1卫,高楼层（7层）,2700 元/月,NJ1654535484052865024,2022-08-03,118.758881,32.084426,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:38,南京
鼓楼-湖南路-丁家桥1-37号,68.38㎡,东南,2室1厅1卫,低楼层（7层）,3900 元/月,NJ1654704336707518464,2022-08-07,118.785624,32.075801,整租,/近地铁/精装/,无,租用车位,民水,民电,有,暂无数据,2022-08-12 20:19:44,南京
鼓楼-五塘广场-德水香林,90.00㎡,南,2室2厅1卫,中楼层（7层）,3600 元/月,NJ1660508412946939904,2022-08-11,118.794957,32.123233,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:19:51,南京
鼓楼-草场门大街-江东北路,83.00㎡,南,2室1厅1卫,中楼层（7层）,4300 元/月,NJ1654769390761017344,2022-08-11,118.74505746653,32.070431988295,整租,/精装/随时看房/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2022-08-12 20:19:57,南京
鼓楼-定淮门大街-定淮门大街,55.00㎡,南,2室1厅1卫,低楼层（7层）,2980 元/月,NJ1654798833554554880,2022-08-05,118.743412,32.070539,整租,//精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:01,南京
鼓楼-凤凰西街-中海凤凰熙岸玺荟,88.00㎡,南北,2室1厅1卫,中楼层（29层）,7000 元/月,NJ1660574127670427648,2022-08-10,118.759233,32.04974,整租,/近地铁/精装/,有,租用车位,商水,商电,有,暂无数据,2022-08-12 20:20:10,南京
